date,compound,positive,neutral,negative
2021-04-01,0.3612,0.217,0.783,0.0
2021-04-02,-0.2411,0.0,0.821,0.179
2021-04-07,0.0,0.0,1.0,0.0
2021-04-09,0.2732,0.231,0.769,0.0
2021-04-10,0.0,0.0,1.0,0.0
2021-04-12,-0.4588,0.0,0.7,0.3
2021-04-19,-0.2263,0.0,0.808,0.192
2021-04-21,0.2263,0.252,0.49,0.259
2021-04-22,0.0,0.0,1.0,0.0
2021-04-23,-0.3182,0.0,0.85,0.15
2021-04-24,-0.3182,0.0,0.827,0.173
2021-04-28,0.0,0.0,1.0,0.0
2021-04-29,0.0,0.0,1.0,0.0
2021-04-30,0.0516,0.199,0.616,0.185
2021-05-01,-0.34,0.0,0.745,0.255
2021-05-04,-0.5574,0.0,0.625,0.375
2021-05-08,0.2023,0.231,0.769,0.0
2021-05-09,-0.4019,0.0,0.803,0.197
2021-05-10,0.0,0.0,1.0,0.0
2021-05-11,-0.4939,0.0,0.656,0.344
2021-05-12,0.0,0.0,1.0,0.0
2021-05-13,0.296,0.18,0.82,0.0
2021-05-14,-0.7351,0.0,0.592,0.408
2021-05-15,-0.4019,0.0,0.803,0.197
2021-05-18,0.0,0.0,1.0,0.0
2021-05-19,-0.4767,0.0,0.763,0.237
2021-05-20,0.0,0.0,1.0,0.0
2021-05-25,0.0,0.0,1.0,0.0
2021-05-26,0.0,0.0,1.0,0.0
2021-05-27,-0.1531,0.0,0.849,0.151
2021-05-28,0.0,0.0,1.0,0.0
2021-05-29,0.0,0.0,1.0,0.0
2021-05-30,0.0,0.0,1.0,0.0
2021-06-01,0.4019,0.213,0.787,0.0
2021-06-02,0.0,0.0,1.0,0.0
2021-06-03,0.128,0.265,0.513,0.222
2021-06-07,-0.5994,0.0,0.588,0.412
2021-06-08,0.0,0.0,1.0,0.0
2021-06-09,0.0,0.0,1.0,0.0
2021-06-11,-0.6486,0.0,0.677,0.323
2021-06-16,0.0,0.0,1.0,0.0
2021-06-18,-0.25,0.0,0.818,0.182
2021-06-23,0.0,0.0,1.0,0.0
2021-06-24,-0.0516,0.0,0.833,0.167
2021-06-28,-0.7351,0.0,0.357,0.643
2021-06-29,-0.5719,0.0,0.709,0.291
2021-07-01,0.3182,0.161,0.839,0.0
2021-07-02,-0.3818,0.0,0.729,0.271
2021-07-03,0.0,0.0,1.0,0.0
2021-07-05,-0.5267,0.075,0.685,0.24
2021-07-06,0.0772,0.126,0.874,0.0
2021-07-08,0.0,0.0,1.0,0.0
2021-07-12,0.4215,0.219,0.781,0.0
2021-07-14,0.0,0.0,1.0,0.0
2021-07-16,-0.3612,0.0,0.762,0.238
2021-07-18,0.4404,0.353,0.52,0.127
2021-07-19,0.0,0.0,1.0,0.0
2021-07-20,0.0,0.0,1.0,0.0
2021-07-21,0.0,0.0,1.0,0.0
2021-07-25,0.0,0.0,1.0,0.0
2021-07-30,-0.5719,0.0,0.575,0.425
2021-08-03,0.0,0.0,1.0,0.0
2021-08-04,-0.4404,0.0,0.775,0.225
2021-08-05,0.5859,0.304,0.696,0.0
2021-08-09,0.0,0.0,1.0,0.0
2021-08-13,0.0,0.0,1.0,0.0
2021-08-16,-0.8807,0.0,0.329,0.671
2021-08-19,-0.6249,0.0,0.579,0.421
2021-08-23,0.0,0.0,1.0,0.0
2021-08-27,0.0,0.0,1.0,0.0
2021-08-30,0.0,0.0,1.0,0.0
2021-08-31,-0.34,0.0,0.844,0.156
2021-09-01,-0.3182,0.0,0.813,0.187
2021-09-04,0.0,0.0,1.0,0.0
2021-09-06,0.0,0.0,1.0,0.0
2021-09-07,0.0,0.0,1.0,0.0
2021-09-08,-0.2755,0.0,0.768,0.232
2021-09-13,0.0,0.0,1.0,0.0
2021-09-16,-0.5106,0.0,0.752,0.248
2021-09-17,0.0,0.0,1.0,0.0
2021-09-19,0.4215,0.189,0.811,0.0
2021-09-20,0.0,0.0,1.0,0.0
2021-09-23,0.0,0.0,1.0,0.0
2021-09-24,-0.1531,0.0,0.833,0.167
2021-09-27,-0.34,0.0,0.821,0.179
2021-09-28,-0.8481,0.0,0.423,0.577
2021-09-29,0.296,0.239,0.761,0.0
2021-10-01,0.0,0.0,1.0,0.0
2021-10-02,0.0,0.0,1.0,0.0
2021-10-03,-0.3818,0.0,0.776,0.224
2021-10-04,-0.5574,0.0,0.735,0.265
2021-10-05,-0.5423,0.153,0.438,0.409
2021-10-07,0.0,0.0,1.0,0.0
2021-10-08,-0.6908,0.0,0.513,0.487
2021-10-11,0.0258,0.165,0.677,0.158
2021-10-12,0.3818,0.271,0.729,0.0
2021-10-13,0.4404,0.225,0.775,0.0
2021-10-14,-0.2732,0.0,0.811,0.189
2021-10-19,0.0,0.0,1.0,0.0
2021-10-20,-0.3818,0.0,0.69,0.31
2021-10-22,0.6222,0.239,0.761,0.0
2021-10-26,-0.1027,0.0,0.877,0.123
2021-10-27,0.0,0.0,1.0,0.0
2021-10-28,0.0,0.0,1.0,0.0
2021-10-29,-0.2023,0.0,0.625,0.375
2021-10-30,0.0,0.0,1.0,0.0
2021-10-31,0.4404,0.225,0.775,0.0
2021-11-01,0.5859,0.348,0.652,0.0
2021-11-02,0.4404,0.266,0.734,0.0
2021-11-04,-0.1027,0.0,0.8770000000000001,0.123
2021-11-05,0.2732,0.16,0.84,0.0
2021-11-06,-0.6597,0.0,0.672,0.328
2021-11-08,-0.6486,0.0,0.569,0.431
2021-11-09,0.5574,0.205,0.795,0.0
2021-11-12,0.0,0.0,1.0,0.0
2021-11-14,0.6597,0.351,0.649,0.0
2021-11-15,0.0,0.0,1.0,0.0
2021-11-16,0.0,0.0,1.0,0.0
2021-11-17,0.0,0.0,1.0,0.0
2021-11-18,0.0,0.0,1.0,0.0
2021-11-20,-0.1027,0.0,0.877,0.123
2021-11-21,0.3612,0.281,0.585,0.135
2021-11-23,0.0,0.0,1.0,0.0
2021-11-24,0.5719,0.425,0.575,0.0
2021-11-26,0.0,0.0,1.0,0.0
2021-11-27,-0.4767,0.0,0.721,0.279
2021-12-01,-0.5574,0.0,0.521,0.479
2021-12-02,0.0,0.0,1.0,0.0
2021-12-05,-0.34,0.0,0.789,0.211
2021-12-06,0.0,0.0,1.0,0.0
2021-12-08,-0.5267,0.0,0.746,0.254
2021-12-10,0.0,0.0,1.0,0.0
2021-12-11,-0.4215,0.0,0.797,0.203
2021-12-14,-0.4767,0.0,0.763,0.237
2021-12-16,-0.7783,0.0,0.618,0.382
2021-12-20,0.0,0.0,1.0,0.0
2021-12-22,-0.1027,0.0,0.896,0.104
2021-12-23,-0.6249,0.0,0.611,0.389
2021-12-25,0.0,0.0,1.0,0.0
2022-01-04,-0.5106,0.0,0.677,0.323
2022-01-05,0.0258,0.121,0.879,0.0
2022-01-06,-0.2263,0.0,0.725,0.275
2022-01-07,0.128,0.258,0.538,0.204
2022-01-08,-0.4215,0.172,0.522,0.306
2022-01-14,-0.128,0.0,0.88,0.12
2022-01-17,0.0,0.0,1.0,0.0
2022-01-18,0.0,0.0,1.0,0.0
2022-01-19,0.0,0.0,1.0,0.0
2022-01-21,-0.3612,0.0,0.72,0.28
2022-01-24,0.2732,0.174,0.826,0.0
2022-01-25,-0.5267,0.0,0.764,0.236
2022-01-27,-0.6486,0.0,0.65,0.35
2022-01-28,-0.128,0.0,0.824,0.176
2022-02-01,0.4404,0.225,0.775,0.0
2022-02-02,0.0258,0.278,0.526,0.19499999999999998
2022-02-03,0.6597,0.375,0.625,0.0
2022-02-04,0.3182,0.315,0.685,0.0
2022-02-05,0.1531,0.196,0.652,0.152
2022-02-14,-0.3612,0.165,0.472,0.362
2022-02-15,0.0,0.183,0.635,0.183
2022-02-18,-0.3182,0.0,0.813,0.187
2022-02-20,0.0,0.0,1.0,0.0
2022-02-21,-0.4404,0.0,0.719,0.281
2022-02-22,0.2732,0.20800000000000002,0.792,0.0
2022-02-23,0.0,0.0,1.0,0.0
2022-02-24,-0.7717,0.0,0.573,0.427
2022-02-25,0.2732,0.174,0.826,0.0
2022-02-26,0.2732,0.231,0.769,0.0
2022-02-27,0.0,0.0,1.0,0.0
2022-02-28,-0.4767,0.0,0.795,0.205
2022-03-01,0.1511,0.207,0.641,0.153
2022-03-02,-0.5994,0.0,0.719,0.281
2022-03-03,-0.5574,0.0,0.735,0.265
2022-03-04,0.5423,0.304,0.696,0.0
2022-03-05,0.0,0.0,1.0,0.0
2022-03-06,0.0,0.0,1.0,0.0
2022-03-07,-0.8176,0.0,0.595,0.405
2022-03-08,-0.4588,0.0,0.7,0.3
2022-03-09,-0.34,0.0,0.745,0.255
